Setting,KV
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,3600
0.7,4150
0.8,4700
0.9,5250
1,5800
1.1,6050
1.2,6300
1.3,6550
1.4,6800
1.5,7200
1.6,7600
1.7,8200
1.8,8800
1.9,9350
2,9900
2.1,11150
2.2,12400
2.3,13700
2.4,15000
2.5,16450
2.6,17900
2.7,19550
2.8,21200
2.9,22850
3,24500
3.1,26750
3.2,29000
3.3,31200
3.4,33400
3.5,35800
3.6,38200
3.7,40800
3.8,43400
3.9,45950
4,48500
4.1,50800
4.2,53100
4.3,55400
4.4,57700
4.5,59950
4.6,62200
4.7,64500
4.8,66800
4.9,69050
5,71300
5.1,72900
5.2,74500
5.3,76050
5.4,77600
5.5,79150
5.6,80700
5.7,82300
5.8,83900
5.9,85450
6,87000
6.1,87950
6.2,88900
6.3,89850
6.4,90800
6.5,91750
6.6,92700
6.8,94600
7,96400
7.2,99000
7.4,101600
7.6,104200
7.8,106700
8,109300
8.2,111100
8.4,112900
8.6,114700
8.8,116400
9,118200
9.2,119900
9.4,121500
