Setting,KV
0,1740
0.1,2030
0.2,2280
0.3,2510
0.4,2730
0.5,2950
0.6,3160
0.7,3380
0.8,3610
0.9,3850
1,4100
1.1,4370
1.2,4650
1.3,4950
1.4,5260
1.5,5590
1.6,5930
1.7,6280
1.8,6640
1.9,7010
2,7390
2.1,7780
2.2,8170
2.3,8560
2.4,8960
2.5,9360
2.6,9760
2.7,10170
2.8,10580
2.9,10990
3,11410
3.1,11840
3.2,12270
3.3,12710
3.4,13160
3.5,13620
3.6,14100
3.7,14600
3.8,15120
3.9,15660
4,16230
4.1,16840
4.2,17470
4.3,18140
4.4,18840
4.5,19590
4.6,20380
4.7,21210
4.8,22080
4.9,23000
5,23960
5.1,24960
5.2,26000
5.3,27070
5.4,28170
5.5,29300
5.6,30440
5.7,31640
5.8,32830
5.9,34010
6,35140
6.1,36230
6.2,37240
6.3,38140
6.4,38930
6.5,39560
