Setting,KV
0,500
0.1,750
0.2,950
0.3,1130
0.4,1290
0.5,1450
0.6,1620
0.7,1800
0.8,1990
0.9,2200
1,2420
1.1,2660
1.2,2920
1.3,3190
1.4,3470
1.5,3750
1.6,4050
1.7,4360
1.8,4670
1.9,4980
2,5300
2.1,5630
2.2,5970
2.3,6320
2.4,6680
2.5,7060
2.6,7460
2.7,7890
2.8,8340
2.9,8830
3,9350
3.1,9920
3.2,10520
3.3,11160
3.4,11850
3.5,12510
3.6,13230
3.7,13980
3.8,14740
3.9,15490
4,16230
4.1,16910
4.2,17510
4.3,18000
