Setting,KV
0,100
0.1,110
0.2,120
0.3,130
0.4,140
0.5,160
0.6,190
0.7,210
0.8,240
0.9,270
1,290
1.1,320
1.2,350
1.3,380
1.4,410
1.5,440
1.6,480
1.7,510
1.8,550
1.9,590
2,630
2.1,670
2.2,710
2.3,750
2.4,800
2.5,840
2.6,880
2.7,930
2.8,970
2.9,1020
3,1060
3.1,1100
3.2,1140
3.3,1190
3.4,1230
3.5,1280
3.6,1340
3.7,1400
3.8,1460
3.9,1520
4,1590
4.1,1660
4.2,1740
4.3,1820
4.4,1910
4.5,2000
4.6,2120
4.7,2230
4.8,2330
4.9,2430
5,2530
5.1,2610
5.2,2700
5.3,2770
5.4,2840
5.5,2900
5.6,2950
5.7,3000
