Setting,KV
0,130
0.1,150
0.2,190
0.3,240
0.4,300
0.5,370
0.6,450
0.7,530
0.8,610
0.9,680
1,760
1.1,840
1.2,920
1.3,990
1.4,1060
1.5,1130
1.6,1210
1.7,1280
1.8,1350
1.9,1430
2,1500
2.1,1590
2.2,1670
2.3,1760
2.4,1860
2.5,1960
2.6,2070
2.7,2190
2.8,2310
2.9,2440
3,2580
3.1,2720
3.2,2870
3.3,3030
3.4,3190
3.5,3360
3.6,3530
3.7,3700
3.8,3870
3.9,4050
4,4230
4.1,4400
4.2,4580
4.3,4750
4.4,4910
4.5,5070
4.6,5220
4.7,5370
4.8,5510
4.9,5640
5,5770
5.1,5880
5.2,6000
