Setting,KV
0,1060
0.1,1210
0.2,1380
0.3,1560
0.4,1760
0.5,1970
0.6,2200
0.7,2430
0.8,2680
0.9,2930
1,3190
1.1,3460
1.2,3730
1.3,4010
1.4,4290
1.5,4580
1.6,4870
1.7,5170
1.8,5470
1.9,5780
2,6090
2.1,6410
2.2,6740
2.3,7090
2.4,7440
2.5,7800
2.6,8180
2.7,8580
2.8,9000
2.9,9440
3,9900
3.1,10380
3.2,10890
3.3,11430
3.4,12000
3.5,12600
3.6,13220
3.7,13880
3.8,14560
3.9,15280
4,16020
4.1,16790
4.2,17570
4.3,18380
4.4,19190
4.5,20020
4.6,20820
4.7,21610
4.8,22380
4.9,23120
5,23810
5.1,24440
5.2,25000
5.3,25460
5.4,25800
5.5,26000
