G,Set3,Set2,Set1
0,47200,34700,22800
100,47200,34700,22800
200,47200,34700,22800
300,47200,34700,22800
400,47200,34700,22800
500,47200,34700,22800
17500,47200,34700,22800
17600,47100,34700,22800
18200,46000,34700,22800
18700,45100,34700,22800
19000,44500,34700,22800
19300,43800,34700,22800
19600,43300,34700,22800
20000,42400,34700,22800
20400,41800,34700,22800
20700,41100,34700,22800
21000,40600,34700,22800
21400,39900,34700,22800
21700,39200,34700,22800
21900,38800,34700,22800
22300,38100,34700,22800
22600,37400,34700,22800
23000,36700,34700,22800
23500,35700,34700,22800
24000,34700,34700,22800
24500,33700,33700,22800
24800,33200,33200,22800
25100,32700,32700,22800
25400,32300,32300,22800
25700,31500,31500,22800
26100,30800,30800,22800
26600,30000,30000,22800
26900,29200,29200,22800
27300,28400,28400,22800
27700,27700,27700,22800
28000,27000,27000,22800
28400,26300,26300,22800
28700,25800,25800,22800
29000,24700,24700,22800
29600,23900,23900,22800
30100,22800,22800,22800
30600,21900,21900,21900
31600,19900,19900,19900
31900,19300,19300,19300
32200,18500,18500,18500
32700,17500,17500,17500
