G,Set3,Set2,Set1
0,92100,65400,37800
100,92100,65400,37800
200,92100,65400,37800
300,92100,65400,37800
400,92100,65400,37800
500,92100,65400,37800
600,92100,65400,37800
700,92100,65400,37800
800,92100,65400,37800
900,92100,65400,37800
1000,92100,65400,37800
1100,92100,65400,37800
1200,92100,65400,37800
1300,92100,65400,37800
1400,92100,65400,37800
1500,92100,65400,37800
1600,92100,65400,37800
1700,92100,65400,37800
1800,92100,65400,37800
1900,92100,65400,37800
2000,92100,65400,37800
2100,92100,65400,37800
2200,92100,65400,37800
2300,92100,65400,37800
2400,92100,65400,37800
2500,92100,65400,37800
2600,92100,65400,37800
2700,92100,65400,37800
2800,92100,65400,37800
2900,92100,65400,37800
3000,92100,65400,37800
3100,92100,65400,37800
3200,92100,65400,37800
3300,92100,65400,37800
3400,92100,65400,37800
3500,92100,65400,37800
3600,92100,65400,37800
3700,92100,65400,37800
3800,92100,65400,37800
3900,92100,65400,37800
4000,92100,65400,37800
4100,92100,65400,37800
4200,92100,65400,37800
4300,92100,65400,37800
4400,92100,65400,37800
4500,92100,65400,37800
4600,92100,65400,37800
4700,92100,65400,37800
4800,92100,65400,37800
4900,92100,65400,37800
5000,92100,65400,37800
5100,92100,65400,37800
5200,92100,65400,37800
5300,92100,65400,37800
5400,92100,65400,37800
5500,92100,65400,37800
5600,92100,65400,37800
5700,92100,65400,37800
5800,92100,65400,37800
5900,92100,65400,37800
6000,92100,65400,37800
6100,92100,65400,37800
6200,92100,65400,37800
6300,92100,65400,37800
6400,92100,65400,37800
6500,92100,65400,37800
6600,92100,65400,37800
6700,92100,65400,37800
6800,92100,65400,37800
6900,92100,65400,37800
7000,92100,65400,37800
7100,92100,65400,37800
7200,92100,65400,37800
7300,92100,65400,37800
7400,92100,65400,37800
7500,92100,65400,37800
7600,92100,65400,37800
7700,92100,65400,37800
7800,92100,65400,37800
7900,92100,65400,37800
8000,92100,65400,37800
8100,92100,65400,37800
8200,92100,65400,37800
8300,92100,65400,37800
8400,92100,65400,37800
8500,92100,65400,37800
8600,92100,65400,37800
8700,92100,65400,37800
8800,92100,65400,37800
8900,92100,65400,37800
9000,92100,65400,37800
9100,92100,65400,37800
9200,92100,65400,37800
9300,92100,65400,37800
9400,92100,65400,37800
9500,92100,65400,37800
9600,92100,65400,37800
9700,92100,65400,37800
9800,92100,65400,37800
9900,92100,65400,37800
10000,92100,65400,37800
10100,92100,65400,37800
10200,92100,65400,37800
10300,92100,65400,37800
10400,92100,65400,37800
10500,91700,65400,37800
10800,90400,65400,37800
11100,88500,65400,37800
11400,87100,65400,37800
11700,85400,65400,37800
12000,83900,65400,37800
12200,82900,65400,37800
12500,81300,65400,37800
12800,80200,65400,37800
13000,79000,65400,37800
13200,78100,65400,37800
13600,76000,65400,37800
14000,74000,65400,37800
14300,72800,65400,37800
14500,72000,65400,37800
14600,71100,65400,37800
14800,70300,65400,37800
15000,69500,65400,37800
15200,68500,65400,37800
15400,67200,65400,37800
15800,65400,65400,37800
16200,63400,63400,37800
16900,59900,59900,37800
17200,58500,58500,37800
17700,56200,56200,37800
18000,54800,54800,37800
18400,53000,53000,37800
18700,51000,51000,37800
19100,50000,50000,37800
19300,48400,48400,37800
19800,46100,46100,37800
20000,45000,45000,37800
20200,44000,44000,37800
20400,43000,43000,37800
20800,41400,41400,37800
21100,39800,39800,37800
21200,39300,39300,37800
21400,38500,38500,37800
21500,37800,37800,37800
21800,36700,36700,36700
22100,35300,35300,35300
22300,33800,33800,33800
22700,32400,32400,32400
23200,30400,30400,30400
