0;3;2;1
0;3,85;3,575;2,862
1;2,803;2,241;1,232
2;1,669;1,051;0
0,1;3,761;3,456;2,665
0,2;3,666;3,322;2,475
0,3;3,569;3,197;2,298
0,4;3,467;3,061;2,123
0,5;3,362;2,928;1,96
0,6;3,256;2,785;1,793
0,7;3,149;2,654;1,648
0,8;3,036;2,52;1,501
0,9;2,925;2,38;1,36
1,1;2,696;2,106;1,104
1,2;2,576;1,977;0,992
1,3;2,463;1,843;0,877
1,4;2,346;1,716;0
1,5;2,233;1,596;0
1,6;2,114;1,474;0
1,7;2,006;1,362;0
1,8;1,891;1,258;0
1,9;1,78;1,144;0
2,1;1,566;0,959;0
2,2;1,465;0,874;0
2,3;1,37;0,807;0
2,4;1,265;0,735;0
2,5;1,169;0,681;0
2,6;1,088;0;0
2,7;1,003;0;0
2,8;0,919;0;0
2,9;0,85;0;0
