G;3;2;1
4,3;0,74;;
4,2;0,975;;
4,1;1,237;;
4;1,504;;
3,9;1,734;;
3,8;1,989;;
3,7;2,228;;
3,6;2,452;;
3,5;2,679;;
3,4;2,883;;
3,3;3,107;;
3,2;3,308;;
3,1;3,517;;
3;3,727;;
2,9;3,906;;
2,8;4,088;;
2,7;4,261;;
2,6;4,443;;
2,5;4,597;;
2,4;4,76;;
2,3;4,911;;
2,2;5,072;2,461;
2,1;5,218;2,85;
2;5,352;3,117;
1,9;5,484;3,459;
1,8;5,608;3,812;
1,7;5,73;4,133;
1,6;5,848;4,418;
1,5;5,968;4,718;
1,4;6,067;4,983;
1,3;6,169;5,25;
1,2;6,27;5,476;
1,1;6,362;5,688;
1;6,446;5,875;2,537
0,9;6,532;6,046;3,087
0,8;6,607;6,193;3,65
0,7;6,685;6,324;4,205
0,6;6,752;6,44;4,73
0,5;6,818;6,538;5,153
0,4;6,882;6,626;5,493
0,3;6,94;6,706;5,72
0,2;6,993;6,774;5,86
0,1;7,048;6,84;5,98
0;7,1;6,9;6,2
