G;3 пост давл;2 пост давл;1 пост давл
32,7;1,75;1,75;1,75
32,2;1,85;1,85;1,85
31,9;1,93;1,93;1,93
31,6;1,99;1,99;1,99
30,6;2,19;2,19;2,19
30,1;2,28;2,28;2,28
29,6;2,39;2,39;2,28
29;2,47;2,47;2,28
28,7;2,58;2,58;2,28
28,4;2,63;2,63;2,28
28;2,7;2,7;2,28
27,7;2,77;2,77;2,28
27,3;2,84;2,84;2,28
26,9;2,92;2,92;2,28
26,6;3;3;2,28
26,1;3,08;3,08;2,28
25,7;3,15;3,15;2,28
25,4;3,23;3,23;2,28
25,1;3,27;3,27;2,28
24,8;3,32;3,32;2,28
24,5;3,37;3,37;2,28
24;3,47;3,47;2,28
23,5;3,57;3,47;2,28
23;3,67;3,47;2,28
22,6;3,74;3,47;2,28
22,3;3,81;3,47;2,28
21,9;3,88;3,47;2,28
21,7;3,92;3,47;2,28
21,4;3,99;3,47;2,28
21;4,06;3,47;2,28
20,7;4,11;3,47;2,28
20,4;4,18;3,47;2,28
20;4,24;3,47;2,28
19,6;4,33;3,47;2,28
19,3;4,38;3,47;2,28
19;4,45;3,47;2,28
18,7;4,51;3,47;2,28
18,2;4,6;3,47;2,28
17,6;4,71;3,47;2,28
17,5;4,72;3,47;2,28
0,5;4,72;3,47;2,28
0,4;4,72;3,47;2,28
0,3;4,72;3,47;2,28
0,2;4,72;3,47;2,28
0,1;4,72;3,47;2,28
0;4,72;3,47;2,28
