Настройка;MNF DN80
0;0
0,1;0
0,2;0
0,3;0
0,4;0
0,5;0
0,6;3,6
0,7;4,15
0,8;4,7
0,9;5,25
1;5,8
1,1;6,05
1,2;6,3
1,3;6,55
1,4;6,8
1,5;7,2
1,6;7,6
1,7;8,2
1,8;8,8
1,9;9,35
2;9,9
2,1;11,15
2,2;12,4
2,3;13,7
2,4;15
2,5;16,45
2,6;17,9
2,7;19,55
2,8;21,2
2,9;22,85
3;24,5
3,1;26,75
3,2;29
3,3;31,2
3,4;33,4
3,5;35,8
3,6;38,2
3,7;40,8
3,8;43,4
3,9;45,95
4;48,5
4,1;50,8
4,2;53,1
4,3;55,4
4,4;57,7
4,5;59,95
4,6;62,2
4,7;64,5
4,8;66,8
4,9;69,05
5;71,3
5,1;72,9
5,2;74,5
5,3;76,05
5,4;77,6
5,5;79,15
5,6;80,7
5,7;82,3
5,8;83,9
5,9;85,45
6;87
6,1;87,95
6,2;88,9
6,3;89,85
6,4;90,8
6,5;91,75
6,6;92,7
6,8;94,6
7;96,4
7,2;99
7,4;101,6
7,6;104,2
7,8;106,7
8;109,3
8,2;111,1
8,4;112,9
8,6;114,7
8,8;116,4
9;118,2
9,2;119,9
9,4;121,5
